,Train MSE,Test MSE,Train R2,Test R2
Linear Regression,0.3174986733890252,0.30526508213971754,0.9649480580230074,0.9687409664403751
Lasso Regression,3.1927180147455325,3.5217158408807037,0.6475230418848494,0.6393775767410981
Ridge Regression,0.32180086818789183,0.3095661046708927,0.964473094518896,0.9683005432950211
Decision Tree,0.4048444254824367,0.5045183528093692,0.9553050626629491,0.9483375038790168
Random Forest,0.2375874437288279,0.25132811042285336,0.9737702800356559,0.9742640927579482
Gradient Boosting,0.0401842742788553,0.05469890817339684,0.9955636449268431,0.9943988516659613
Voting Regressor,0.3185742220887418,0.3063520326289035,0.9648293171469796,0.9686296631049888
Stacking Regressor,0.20943562296090631,0.21876568108671227,0.9768782488897331,0.977598473697513
