,Train MSE,Test MSE,Train R2,Test R2
Linear Regression,0.3174986733890252,0.30526508213971754,0.9649480580230074,0.9687409664403751
Lasso Regression,3.1927180147455325,3.5217158408807037,0.6475230418848494,0.6393775767410981
Ridge Regression,0.32180086818789183,0.3095661046708927,0.964473094518896,0.9683005432950211
Decision Tree,0.4048444254824367,0.5045183528093692,0.9553050626629491,0.9483375038790168
Random Forest,0.22184809513685216,0.2372957668201452,0.9755079085041869,0.9757009996472743
Gradient Boosting,0.04018427427885531,0.05529705282651729,0.9955636449268431,0.9943376018706872
Voting Regressor,0.3185742220887418,0.3063520326289035,0.9648293171469796,0.9686296631049888
Stacking Regressor,0.2192429787623435,0.22149976046750464,0.9757955140775517,0.9773185049617512
