,Train_MSE,Train_R2,Test_MSE,Test_R2
Linear Regression,0.02579380802791768,0.9971523564092111,0.026183940466813282,0.9973187740044217
Decision Tree,0.24077100131130502,0.9734188143918148,0.32340833230689814,0.9668831042116482
KNN,0.7811621787622268,0.9137594778827787,1.2016033044514591,0.8769562579646335
SVM,0.26777119158115925,0.970437985865495,0.3281178130684537,0.9664008550918275
