id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,league,season
2514,Roberto Lago,16,1023,0,0.0355791188776493,1,0.1129031386226415,2,2,3,1,D S,Getafe,0,0.0355791188776493,0.8564396668225527,0.7079574093222618,LaLiga,1415
2516,Ángel Trujillo,36,3211,0,0.4001664947718382,1,0.8356728572398424,10,5,5,1,D S,Almeria,0,0.4001664947718382,1.399762211367488,1.2196390088647604,LaLiga,1415
2517,Martin Odegaard,1,31,0,0.0,0,0.1270822435617447,0,1,0,0,S,Real Madrid,0,0.0,0.2086168676614761,0.2086168676614761,LaLiga,1415
2521,Alfonso,2,41,0,0.0609820634126663,0,0.0,1,0,1,0,S,Villarreal,0,0.0609820634126663,0.0609820634126663,0.0,LaLiga,1415
2525,Juankar,21,1340,0,0.1982006467878818,1,0.5007295534014702,5,7,5,1,D M S,Granada,0,0.1982006467878818,2.6101746782660484,2.2470409404486418,LaLiga,1415
2528,Ivi,8,120,0,0.1011602953076362,0,0.3566949442028999,3,4,0,0,S,Getafe,0,0.1011602953076362,0.5464943200349808,0.1909949723631143,LaLiga,1415
2529,Borja Fernández,6,192,0,0.0,0,0.0,0,0,1,0,M S,Celta Vigo,0,0.0,0.8585748597979546,0.8585748597979546,LaLiga,1415
2540,Fernando Tissone,7,320,0,0.0578026017174124,0,0.4709086883813143,3,2,3,0,M S,Malaga,0,0.0578026017174124,0.7350017558783293,0.2350954972207546,LaLiga,1415
2543,Borja Iglesias,1,10,0,0.0,0,0.0,0,0,0,0,S,Celta Vigo,0,0.0,0.0,0.0,LaLiga,1415
2545,Fuentes,22,1881,0,0.2426747418940067,0,0.3551524188369512,4,6,6,0,D S,Espanyol,0,0.2426747418940067,2.8213137118145823,2.412339753471315,LaLiga,1415
2550,Nikos Karámpelas,14,948,0,0.1935046929866075,1,1.0264507122337818,9,8,6,0,D S,Levante,0,0.1935046929866075,1.1038673017174006,0.1887614279985427,LaLiga,1415
2556,Marcos Angeleri,22,1880,0,0.8177553862333298,0,0.1108854059129953,2,2,3,2,D S,Malaga,0,0.8177553862333298,1.436112504452467,1.2434880025684834,LaLiga,1415
2558,Lass,15,954,0,0.8698264583945274,1,1.740541821345687,11,16,6,0,F M S,"Granada,Rayo Vallecano",0,0.8698264583945274,1.315819475799799,0.370520306751132,LaLiga,1415
2562,Eddy,5,229,0,0.2263814266771078,0,0.0,4,0,2,0,M S,Granada,0,0.2263814266771078,0.1364800482988357,0.0355594977736473,LaLiga,1415
2564,Uche,1,4,0,0.0,0,0.0,0,0,0,0,S,Granada,0,0.0,0.0,0.0,LaLiga,1415
2565,Lévy Madinda,5,49,0,0.0158811770379543,0,0.0,1,0,1,0,S,Celta Vigo,0,0.0158811770379543,0.0158811770379543,0.0,LaLiga,1415
2567,Luismi,1,9,0,0.0,0,0.0,0,0,1,0,S,Sevilla,0,0.0,0.0169937796890735,0.0169937796890735,LaLiga,1415
2577,Kike Sola,5,108,0,0.3870454132556915,0,0.0256803669035434,4,1,0,0,F S,Athletic Club,0,0.3870454132556915,0.3338123969733715,0.0115119032561779,LaLiga,1415
2587,Fabri,31,2790,0,0.0,0,0.0172486715018749,0,1,2,0,GK,Deportivo La Coruna,0,0.0,1.3468565233051777,1.3296078499406576,LaLiga,1415
2593,Bojan Jokic,7,552,0,0.0175175089389085,0,0.2877219840884208,1,4,2,0,D S,Villarreal,0,0.0175175089389085,0.5969969257712364,0.3716091886162758,LaLiga,1415
2600,Fontàs,34,2984,0,0.7042591450735927,0,0.5199444498866796,12,9,7,1,D S,Celta Vigo,0,0.7042591450735927,9.356375712901354,9.147637579590082,LaLiga,1415
2601,Toño,21,1737,0,0.0,0,0.0141408611088991,0,1,3,0,GK S,Rayo Vallecano,0,0.0,1.5610538199543953,1.546912956982851,LaLiga,1415
2617,David Cobeño,3,244,0,0.0,0,0.0,0,0,1,0,GK S,Rayo Vallecano,0,0.0,0.4062657710164785,0.4062657710164785,LaLiga,1415
2619,Stole Dimitrievski,1,90,0,0.0,0,0.0,0,0,0,0,GK,Granada,0,0.0,0.0,0.0,LaLiga,1415
2620,Jon Errasti,25,1723,0,0.145466374233365,0,0.0467748995870351,5,3,3,0,M S,Eibar,0,0.145466374233365,0.9875466749072076,0.8361518196761608,LaLiga,1415
3392,Lucas Silva,8,338,0,0.0703386198729276,0,0.0078511675819754,3,1,0,0,M S,Real Madrid,0,0.0703386198729276,2.509941168129444,2.466588987968862,LaLiga,1415
3428,Hélder Costa,6,134,0,0.1250362433493137,0,0.0405459757894277,2,2,0,0,S,Deportivo La Coruna,0,0.1250362433493137,0.2983492910861969,0.1465248167514801,LaLiga,1415
3633,Fábio Coentrão,9,411,0,0.1068670079112052,0,0.0246397834271192,1,1,1,1,D S,Real Madrid,0,0.1068670079112052,1.3360474836081266,1.2291804682463408,LaLiga,1415
3970,Cristian Rodríguez,6,61,0,0.0656355246901512,0,0.0224246513098478,1,1,0,0,S,Atletico Madrid,0,0.0656355246901512,0.0880601704120636,0.0,LaLiga,1415
4016,Edimar,17,1499,0,0.2621058318763971,1,1.297341587021947,11,20,1,0,D,Cordoba,0,0.2621058318763971,3.7125723781064153,2.9878827380016446,LaLiga,1415
4037,Pablo Insúa,17,1227,0,0.3439306002110243,0,0.0,5,0,5,0,D S,Deportivo La Coruna,0,0.3439306002110243,1.299475895240903,1.2382579129189253,LaLiga,1415
4041,Julián,15,1350,0,0.0,0,0.0,0,0,2,0,GK,Almeria,0,0.0,1.0013086795806885,1.0013086795806885,LaLiga,1415
4043,Sebastián Dubarbier,32,2772,0,0.6773623507469893,1,1.0929857082664969,14,16,12,2,D M,Almeria,0,0.6773623507469893,5.334804521873593,4.387839511968195,LaLiga,1415
4044,Fran Vélez,17,1214,0,0.2395172491669654,1,0.571221923455596,6,3,3,1,D M S,Almeria,0,0.2395172491669654,0.5145306680351496,0.4170730449259281,LaLiga,1415
4045,Corona,31,2029,0,0.7331522665917873,0,1.9590255543589592,21,37,4,0,M S,Almeria,0,0.7331522665917873,4.086767770349979,3.3111644722521305,LaLiga,1415
4047,Wellington,31,1995,0,2.4258357994258404,2,2.7631245963275437,21,21,6,0,M S,Almeria,0,2.4258357994258404,6.61840046197176,3.2315135579556227,LaLiga,1415
4049,Casado,8,412,0,0.0992909334599971,1,0.6881976500153542,2,2,4,0,D S,Almeria,0,0.0992909334599971,1.5456656254827976,0.935815755277872,LaLiga,1415
4051,Ramón Azeez,14,847,0,0.2971634902060032,1,0.3770737685263157,4,11,1,1,M S,Almeria,0,0.2971634902060032,1.1448269058018925,0.571691608056426,LaLiga,1415
4052,Ximo Navarro,28,2410,0,0.3593249777331948,2,1.3356597740203142,13,16,5,0,D,Almeria,0,0.3593249777331948,3.0940207028761506,2.035684559494257,LaLiga,1415
4056,Eñaut Zubikarai,16,1440,0,0.0,0,0.0,0,0,0,0,GK,Real Sociedad,0,0.0,0.5952417720109224,0.5952417720109224,LaLiga,1415
4062,Mikel Saizar,6,540,0,0.0,0,0.0122811524197459,0,1,0,0,GK,Cordoba,0,0.0,0.5884417816996574,0.5761606320738792,LaLiga,1415
4063,Eduard Campabadal,14,1085,0,0.504765834659338,0,0.2426458336412906,4,6,4,1,D S,Cordoba,0,0.504765834659338,1.0190743785351517,0.4253198504447937,LaLiga,1415
4064,Fausto Rossi,24,1468,0,0.3165981816127896,1,1.1323523744940758,7,13,5,0,M S,Cordoba,0,0.3165981816127896,2.415613114833832,1.489318560808897,LaLiga,1415
4065,Héldon,14,524,0,0.2697464311495423,0,0.684131346642971,6,12,4,0,F M S,Cordoba,0,0.2697464311495423,0.606332128867507,0.2457835096865892,LaLiga,1415
4066,Abel Gómez,22,1262,0,0.7047328148037195,0,0.8274926031008363,23,18,2,0,M S,Cordoba,0,0.7047328148037195,2.3243135223165154,1.8205027813091876,LaLiga,1415
4067,Bruno Zuculini,9,426,0,0.1577138267457485,0,0.0137378806248307,3,1,2,0,M S,"Cordoba,Valencia",0,0.1577138267457485,0.8251168802380562,0.7071486786007881,LaLiga,1415
4069,Fede Vico,20,896,0,0.3177963048219681,0,0.2141385274007916,7,9,2,0,D M S,Cordoba,0,0.3177963048219681,1.3836175678297875,0.9245008807629348,LaLiga,1415
